#Accession,SRA_Accession,Submitters,Release_Date,Strain,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
PP983842.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH870,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,882,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH870 gag protein gene, partial cds"
PP983843.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH873,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,924,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH873 gag protein gene, partial cds"
PP983844.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH874,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,924,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH874 gag protein gene, partial cds"
PP983845.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH875,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,936,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH875 gag protein gene, partial cds"
PP983846.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH880,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,888,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH880 gag protein gene, partial cds"
PP983847.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH884,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,909,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH884 gag protein gene, partial cds"
PP983848.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH885,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,939,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH885 gag protein gene, partial cds"
PP983849.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH889,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,930,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH889 gag protein gene, partial cds"
PP983850.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH890,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,936,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH890 gag protein gene, partial cds"
PP983851.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH891,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,936,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH891 gag protein gene, partial cds"
PP983852.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH893,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,948,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH893 gag protein gene, partial cds"
PP983853.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH895,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,936,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH895 gag protein gene, partial cds"
PP983854.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH896,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,921,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH896 gag protein gene, partial cds"
PP983855.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH897,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,921,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH897 gag protein gene, partial cds"
PP983856.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH900,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,903,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH900 gag protein gene, partial cds"
PP983857.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH901,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,918,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH901 gag protein gene, partial cds"
PP983858.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH902,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,837,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH902 gag protein gene, partial cds"
PP983859.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH905,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,915,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH905 gag protein gene, partial cds"
PP983860.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH906,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,936,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH906 gag protein gene, partial cds"
PP983861.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH908,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,921,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH908 gag protein gene, partial cds"
PP983862.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH909,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,927,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH909 gag protein gene, partial cds"
PP983863.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH915,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,921,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH915 gag protein gene, partial cds"
PP983864.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH916,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,906,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH916 gag protein gene, partial cds"
PP983865.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH917,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,924,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH917 gag protein gene, partial cds"
PP983866.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH919,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,930,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH919 gag protein gene, partial cds"
PP983867.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH921,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,933,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH921 gag protein gene, partial cds"
PP983868.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH923,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,915,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH923 gag protein gene, partial cds"
PP983869.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH929,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,924,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH929 gag protein gene, partial cds"
PP983870.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH932,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,933,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH932 gag protein gene, partial cds"
PP983871.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH933,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,933,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH933 gag protein gene, partial cds"
PP983872.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH939,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,903,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH939 gag protein gene, partial cds"
PP983873.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH940,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,936,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH940 gag protein gene, partial cds"
PP983874.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH942,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,912,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH942 gag protein gene, partial cds"
PP983875.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH943,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,927,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH943 gag protein gene, partial cds"
PP983876.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH945,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,939,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH945 gag protein gene, partial cds"
PP983877.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH960,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,921,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH960 gag protein gene, partial cds"
PP983878.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH970,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,756,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH970 gag protein gene, partial cds"
PP983879.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH972,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,930,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH972 gag protein gene, partial cds"
PP983880.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH974,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,873,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH974 gag protein gene, partial cds"
PP983881.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH976,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,903,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH976 gag protein gene, partial cds"
PP983882.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH987,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,912,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH987 gag protein gene, partial cds"
PP983883.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH989,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,936,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH989 gag protein gene, partial cds"
PP983884.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH992,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,942,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH992 gag protein gene, partial cds"
PP983885.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH999,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,933,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH999 gag protein gene, partial cds"
PP820910.1,,"Singh,R., Bhardwaj,P., Yadav,V., Gulafsan,S., Singh,R.S., Suyal,T.",2025-04-09,,CSF2200474,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,240,GenBank,partial,,,,India,,Homo sapiens,cerebrospinal fluid,2022,,"Human alphaherpesvirus 1 isolate CSF2200474 glycoprotein D (US6) gene, partial cds"
PP820911.1,,"Singh,R., Bhardwaj,P., Yadav,V., Gulafsan,S., Singh,R.S., Suyal,T.",2025-04-09,,CSF2300327,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,231,GenBank,partial,,,,India,,Homo sapiens,cerebrospinal fluid,2023,,"Human alphaherpesvirus 1 isolate CSF2300327 glycoprotein D (US6) gene, partial cds"
PP820912.1,,"Singh,R., Bhardwaj,P., Yadav,V., Gulafsan,S., Singh,R.S., Suyal,T.",2025-04-09,,CSF2200486,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,240,GenBank,partial,,,,India,,Homo sapiens,cerebrospinal fluid,2022,,"Human alphaherpesvirus 1 isolate CSF2200486 glycoprotein D (US6) gene, partial cds"
PP820913.1,,"Singh,R., Bhardwaj,P., Yadav,V., Gulafsan,S., Singh,R.S., Suyal,T.",2025-04-09,,CSF2401070,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,240,GenBank,partial,,,,India,,Homo sapiens,cerebrospinal fluid,2024,,"Human alphaherpesvirus 1 isolate CSF2401070 glycoprotein D (US6) gene, partial cds"
PP820914.1,,"Singh,R., Bhardwaj,P., Yadav,V., Gulafsan,S., Singh,R.S., Suyal,T.",2025-04-09,,WB2300140,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,244,GenBank,partial,,,,India,,Homo sapiens,blood,2023,,"Human alphaherpesvirus 1 isolate WB2300140 glycoprotein D (US6) gene, partial cds"
PQ602533.1,SRR31144985,"Pei,Y.Y., Lv,J.X., Zhang,Y.Z.",2025-03-29,,HSV-1/SH/KTRM91/2023,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,209,GenBank,partial,,,,China,,Homo sapiens,lung,2023-06-14,SAMN44481834,"Simplexvirus humanalpha1 isolate HSV-1/SH/KTRM91/2023 large tegument protein UL36 (UL36) gene, partial cds"
PQ602556.1,SRR31145087,"Pei,Y.Y., Lv,J.X., Zhang,Y.Z.",2025-03-29,,HSV-1/SH/KTRS15/2020,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,631,GenBank,partial,,,,China,,Homo sapiens,lung,2020-05-23,SAMN44481852,"Simplexvirus humanalpha1 isolate HSV-1/SH/KTRS15/2020 large tegument protein UL36 (UL36) gene, partial cds"
PP379031.1,,"Bowen,C.D., Blake,A., Renner,D.W., Hazel,A., Jakurama,J., Matundu,J., Szpara,M.L., Bharti,N.",2025-03-08,,HSV1-Namibia-2015-oral038,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,151629,GenBank,partial,,,,Namibia,,Homo sapiens,,2015,,"Human alphaherpesvirus 1 isolate HSV1-Namibia-2015-oral038, partial genome"
PP379032.1,,"Bowen,C.D., Blake,A., Renner,D.W., Hazel,A., Jakurama,J., Matundu,J., Szpara,M.L., Bharti,N.",2025-03-08,,HSV1-Namibia-2015-oral050,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,150321,GenBank,partial,,,,Namibia,,Homo sapiens,,2015,,"Human alphaherpesvirus 1 isolate HSV1-Namibia-2015-oral050, partial genome"
PP379033.1,,"Bowen,C.D., Blake,A., Renner,D.W., Hazel,A., Jakurama,J., Matundu,J., Szpara,M.L., Bharti,N.",2025-03-08,,HSV1-Namibia-2015-oral055,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,153976,GenBank,partial,,,,Namibia,,Homo sapiens,,2015,,"Human alphaherpesvirus 1 isolate HSV1-Namibia-2015-oral055, partial genome"
PP379034.1,,"Bowen,C.D., Blake,A., Renner,D.W., Hazel,A., Jakurama,J., Matundu,J., Szpara,M.L., Bharti,N.",2025-03-08,,HSV1-Namibia-2016-oral309combined,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,148798,GenBank,partial,,,,Namibia,,Homo sapiens,,2016,,"Human alphaherpesvirus 1 isolate HSV1-Namibia-2016-oral309combined, partial genome"
PQ550685.1,,"Cage,G.D.",2024-11-27,ATCC VR-539DQ,ATCC VR-539DQ,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,1000,GenBank,partial,,,,"USA: Phoenix Children's Hospital, Phoenix, AZ",AZ,Homo sapiens,,2024-09-23,,"Simplexvirus humanalpha1 strain ATCC VR-539DQ DNA polymerase catalytic subunit (UL30) gene, partial cds"
LC833868.1,,"Yamada,S., Fukushi,S., Harada,S., Yoshikawa,T., Kinoshita,H., Kawahara,M., Ebihara,H., Saijo,M., Fujii,H., Shibamura,M., Nguyen,P.H.A.",2024-08-23,,HSV-1 UL29mut ACVr,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,3591,GenBank,partial,,,,Japan,,Homo sapiens,,2017,,"Human alphaherpesvirus 1 HSV-1 UL29mut ACVr UL29 gene for major DNA-binding protein, complete cds"
OR344341.1,,"Fernandez,J., Burrel,S., Boutolleau,D., Rousseau,A., Labetoulle,M.",2024-07-21,,Be_El,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,1195,GenBank,partial,,,,France,,Homo sapiens,,2021-05-20,,"UNVERIFIED: Human alphaherpesvirus 1 isolate Be_El thymidine kinase-like gene, partial sequence"
OR344342.1,,"Fernandez,J., Burrel,S., Boutolleau,D., Rousseau,A., Labetoulle,M.",2024-07-21,,Bo_Je,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,1195,GenBank,partial,,,,France,,Homo sapiens,,2022-02-15,,"UNVERIFIED: Human alphaherpesvirus 1 isolate Bo_Je thymidine kinase-like gene, partial sequence"
OR344343.1,,"Fernandez,J., Burrel,S., Boutolleau,D., Rousseau,A., Labetoulle,M.",2024-07-21,,Le_Cl,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,1195,GenBank,partial,,,,France,,Homo sapiens,,2021-04-07,,"UNVERIFIED: Human alphaherpesvirus 1 isolate Le_Cl thymidine kinase-like gene, partial sequence"
OR344344.1,,"Fernandez,J., Burrel,S., Boutolleau,D., Rousseau,A., Labetoulle,M.",2024-07-21,,Ma_Al,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,1195,GenBank,partial,,,,France,,Homo sapiens,,2022-07-21,,"UNVERIFIED: Human alphaherpesvirus 1 isolate Ma_Al thymidine kinase-like gene, partial sequence"
OR344345.1,,"Fernandez,J., Burrel,S., Boutolleau,D., Rousseau,A., Labetoulle,M.",2024-07-21,,Me_Sy,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,1195,GenBank,partial,,,,France,,Homo sapiens,,2021-10-18,,"UNVERIFIED: Human alphaherpesvirus 1 isolate Me_Sy thymidine kinase-like gene, partial sequence"
OR344346.1,,"Fernandez,J., Burrel,S., Boutolleau,D., Rousseau,A., Labetoulle,M.",2024-07-21,,To_Ro,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,1195,GenBank,partial,,,,France,,Homo sapiens,,2021-06-15,,"UNVERIFIED: Human alphaherpesvirus 1 isolate To_Ro thymidine kinase-like gene, partial sequence"
OR344347.1,,"Fernandez,J., Burrel,S., Boutolleau,D., Rousseau,A., Labetoulle,M.",2024-07-21,,Va_Je,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,1194,GenBank,partial,,,,France,,Homo sapiens,,2022-04-13,,"UNVERIFIED: Human alphaherpesvirus 1 isolate Va_Je thymidine kinase-like gene, partial sequence"
OR344348.1,,"Fernandez,J., Boutolleau,D., Rousseau,A., Labetoulle,M., Burrel,S.",2024-07-21,,Be_El,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,3200,GenBank,partial,,,,France,,Homo sapiens,,2021-05-20,,"UNVERIFIED: Human alphaherpesvirus 1 isolate Be_El DNA polymerase-like gene, partial sequence"
OR344349.1,,"Fernandez,J., Boutolleau,D., Rousseau,A., Labetoulle,M., Burrel,S.",2024-07-21,,Bo_Je,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,3708,GenBank,partial,,,,France,,Homo sapiens,,2022-02-15,,"UNVERIFIED: Human alphaherpesvirus 1 isolate Bo_Je DNA polymerase-like gene, partial sequence"
