#Accession,SRA_Accession,Submitters,Release_Date,Strain,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
ON653110.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201740090,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,870,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2017-07-03,,"Human gammaherpesvirus 8 isolate 201740090 K1 glycoprotein gene, complete cds"
ON653111.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201753971,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,858,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2017-07-27,,"Human gammaherpesvirus 8 isolate 201753971 K1 glycoprotein gene, complete cds"
ON653114.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201756823,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,855,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2017-10-26,,"Human gammaherpesvirus 8 isolate 201756823 K1 glycoprotein gene, complete cds"
ON653115.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201758478,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,870,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2017-11-02,,"Human gammaherpesvirus 8 isolate 201758478 K1 glycoprotein gene, complete cds"
ON653116.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201758921,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,855,GenBank,partial,,,1.0,Spain,,Homo sapiens,,2017-11-07,,"Human gammaherpesvirus 8 isolate 201758921 K1 glycoprotein gene, complete cds"
ON653117.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201763955,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,855,GenBank,partial,,,1.0,Spain,,Homo sapiens,skin,2017-11-08,,"Human gammaherpesvirus 8 isolate 201763955 K1 glycoprotein gene, complete cds"
ON653118.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201768546,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,855,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2017-12-01,,"Human gammaherpesvirus 8 isolate 201768546 K1 glycoprotein gene, complete cds"
ON653119.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201803688,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,855,GenBank,partial,,,1.0,Spain,,Homo sapiens,,2017-12-27,,"Human gammaherpesvirus 8 isolate 201803688 K1 glycoprotein gene, complete cds"
ON653120.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201813836,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,855,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2018-01-19,,"Human gammaherpesvirus 8 isolate 201813836 K1 glycoprotein gene, complete cds"
ON653121.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201819483,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,855,GenBank,partial,,,1.0,Spain,,Homo sapiens,bone,2018-03-08,,"Human gammaherpesvirus 8 isolate 201819483 K1 glycoprotein gene, complete cds"
ON653122.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201822601,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,855,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2018-04-11,,"Human gammaherpesvirus 8 isolate 201822601 K1 glycoprotein gene, complete cds"
ON653123.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201826549,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,855,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2018-04-30,,"Human gammaherpesvirus 8 isolate 201826549 K1 glycoprotein gene, complete cds"
ON653125.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201829432,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,870,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2018-05-30,,"Human gammaherpesvirus 8 isolate 201829432 K1 glycoprotein gene, complete cds"
ON653126.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201832821,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,870,GenBank,partial,,,1.0,Spain,,Homo sapiens,,2018-06-11,,"Human gammaherpesvirus 8 isolate 201832821 K1 glycoprotein gene, complete cds"
ON653127.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201833808,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,870,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2018-06-27,,"Human gammaherpesvirus 8 isolate 201833808 K1 glycoprotein gene, complete cds"
ON653128.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201837206,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,870,GenBank,partial,,,1.0,Spain,,Homo sapiens,,2018-07-03,,"Human gammaherpesvirus 8 isolate 201837206 K1 glycoprotein gene, complete cds"
ON653129.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201838247,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,870,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2018-07-25,,"Human gammaherpesvirus 8 isolate 201838247 K1 glycoprotein gene, complete cds"
ON653130.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201841252,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,870,GenBank,partial,,,1.0,Spain,,Homo sapiens,,2018-08-01,,"Human gammaherpesvirus 8 isolate 201841252 K1 glycoprotein gene, complete cds"
ON653132.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201843199,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,870,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2018-08-29,,"Human gammaherpesvirus 8 isolate 201843199 K1 glycoprotein gene, complete cds"
ON653133.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201843399,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,870,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2018-09-10,,"Human gammaherpesvirus 8 isolate 201843399 K1 glycoprotein gene, complete cds"
ON653137.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201861361,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,855,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2018-12-21,,"Human gammaherpesvirus 8 isolate 201861361 K1 glycoprotein gene, complete cds"
ON653139.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201904871,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,870,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2019-01-11,,"Human gammaherpesvirus 8 isolate 201904871 K1 glycoprotein gene, complete cds"
ON653140.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201907993,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,870,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2019-02-01,,"Human gammaherpesvirus 8 isolate 201907993 K1 glycoprotein gene, complete cds"
ON653141.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201910257,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,855,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2019-02-19,,"Human gammaherpesvirus 8 isolate 201910257 K1 glycoprotein gene, complete cds"
ON653142.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201915184,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,855,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2019-02-27,,"Human gammaherpesvirus 8 isolate 201915184 K1 glycoprotein gene, complete cds"
ON653144.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201919048,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,876,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2019-04-17,,"Human gammaherpesvirus 8 isolate 201919048 K1 glycoprotein gene, complete cds"
ON653145.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201919984,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,858,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2019-04-23,,"Human gammaherpesvirus 8 isolate 201919984 K1 glycoprotein gene, complete cds"
ON653146.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201921996,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,870,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2019-05-03,,"Human gammaherpesvirus 8 isolate 201921996 K1 glycoprotein gene, complete cds"
ON653147.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201922420,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,855,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2019-05-10,,"Human gammaherpesvirus 8 isolate 201922420 K1 glycoprotein gene, complete cds"
ON653150.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201925433,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,855,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2019-05-24,,"Human gammaherpesvirus 8 isolate 201925433 K1 glycoprotein gene, complete cds"
ON653151.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201928423,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,858,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2019-05-31,,"Human gammaherpesvirus 8 isolate 201928423 K1 glycoprotein gene, complete cds"
ON653153.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201930379,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,855,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2019-06-27,,"Human gammaherpesvirus 8 isolate 201930379 K1 glycoprotein gene, complete cds"
ON653154.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201936743,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,858,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2019-07-01,,"Human gammaherpesvirus 8 isolate 201936743 K1 glycoprotein gene, complete cds"
ON653155.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201940220,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,870,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2019-08-12,,"Human gammaherpesvirus 8 isolate 201940220 K1 glycoprotein gene, complete cds"
ON653156.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201940707,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,858,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2019-09-04,,"Human gammaherpesvirus 8 isolate 201940707 K1 glycoprotein gene, complete cds"
ON653157.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201943731,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,855,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2019-09-06,,"Human gammaherpesvirus 8 isolate 201943731 K1 glycoprotein gene, complete cds"
ON653158.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201944238,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,870,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2019-09-26,,"Human gammaherpesvirus 8 isolate 201944238 K1 glycoprotein gene, complete cds"
ON653160.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,201948775,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,870,GenBank,partial,,,1.0,Spain,,Homo sapiens,skin,2019-10-01,,"Human gammaherpesvirus 8 isolate 201948775 K1 glycoprotein gene, complete cds"
ON653162.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,202009225,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,870,GenBank,partial,,,1.0,Spain,,Homo sapiens,,2019-12-23,,"Human gammaherpesvirus 8 isolate 202009225 K1 glycoprotein gene, complete cds"
ON653164.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,202037161,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,858,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2020-05-22,,"Human gammaherpesvirus 8 isolate 202037161 K1 glycoprotein gene, complete cds"
ON653165.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,202047695,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,855,GenBank,partial,,,1.0,Spain,,Homo sapiens,,2020-05-26,,"Human gammaherpesvirus 8 isolate 202047695 K1 glycoprotein gene, complete cds"
ON653166.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,202063028,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,855,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2020-07-24,,"Human gammaherpesvirus 8 isolate 202063028 K1 glycoprotein gene, complete cds"
ON653167.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,202064448,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,855,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2020-10-02,,"Human gammaherpesvirus 8 isolate 202064448 K1 glycoprotein gene, complete cds"
ON653168.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,202069992,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,855,GenBank,partial,,,1.0,Spain,,Homo sapiens,,2020-10-19,,"Human gammaherpesvirus 8 isolate 202069992 K1 glycoprotein gene, complete cds"
ON653169.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,202071185,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,870,GenBank,partial,,,1.0,Spain,,Homo sapiens,bone,2020-11-26,,"Human gammaherpesvirus 8 isolate 202071185 K1 glycoprotein gene, complete cds"
ON653170.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,202073786,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,855,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2020-12-28,,"Human gammaherpesvirus 8 isolate 202073786 K1 glycoprotein gene, complete cds"
ON653172.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,202101790,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,855,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2021-12-22,,"Human gammaherpesvirus 8 isolate 202101790 K1 glycoprotein gene, complete cds"
ON653173.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,202105258,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,855,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2021-02-16,,"Human gammaherpesvirus 8 isolate 202105258 K1 glycoprotein gene, complete cds"
ON653175.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,202106946,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,858,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2021-02-24,,"Human gammaherpesvirus 8 isolate 202106946 K1 glycoprotein gene, complete cds"
ON653176.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,202107216,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,870,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2021-02-26,,"Human gammaherpesvirus 8 isolate 202107216 K1 glycoprotein gene, complete cds"
ON653178.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,202107843,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,855,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2021-03-02,,"Human gammaherpesvirus 8 isolate 202107843 K1 glycoprotein gene, complete cds"
ON653180.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,202112367,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,870,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2021-03-26,,"Human gammaherpesvirus 8 isolate 202112367 K1 glycoprotein gene, complete cds"
ON653182.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,202115254,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,855,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2021-04-14,,"Human gammaherpesvirus 8 isolate 202115254 K1 glycoprotein gene, complete cds"
ON653184.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,202121003,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,870,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2021-05-13,,"Human gammaherpesvirus 8 isolate 202121003 K1 glycoprotein gene, complete cds"
ON653186.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,202121559,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,870,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2021-05-14,,"Human gammaherpesvirus 8 isolate 202121559 K1 glycoprotein gene, complete cds"
ON653187.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,202122237,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,858,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2021-05-19,,"Human gammaherpesvirus 8 isolate 202122237 K1 glycoprotein gene, complete cds"
ON653188.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,202122238,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,855,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2021-05-19,,"Human gammaherpesvirus 8 isolate 202122238 K1 glycoprotein gene, complete cds"
ON653191.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,202124665,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,870,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2021-06-03,,"Human gammaherpesvirus 8 isolate 202124665 K1 glycoprotein gene, complete cds"
ON653192.1,,"Gomez,I., Perez-Vazquez,M.D., Tarrago,D.",2023-01-09,,202127417,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,855,GenBank,partial,,,1.0,Spain,,Homo sapiens,blood,2021-06-16,,"Human gammaherpesvirus 8 isolate 202127417 K1 glycoprotein gene, complete cds"
OP346856.1,,"Pantale,S.Q., Camillo,L.M.B., Neves,T.C., Menezes,I.G., Stangherlin,L.M., Batista,H.B.C.R., Poole,E., Nevels,M., Philot,E.A., Scott,A.L., Carlan da Silva,M.C., Pantaleao,S.Q., Livia,B.C.M., Tainan,N.C., Lucas,S.M., Isabela,M.G., Helena,B.B.C.R., Emma,P., Michael,N., Eric,P.A., Ana Ligia,S., Maria Cristina,S.C.",2022-12-27,TB40 Lisa,TB40_LISA_KF297339,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,690,GenBank,partial,,,1.0,Brazil,,Homo sapiens,,2022,,"Human betaherpesvirus 5 isolate TB40_LISA_KF297339 interleukin-10 gene, complete cds"
OP346857.1,,"Pantale,S.Q., Camillo,L.M.B., Neves,T.C., Menezes,I.G., Stangherlin,L.M., Batista,H.B.C.R., Poole,E., Nevels,M., Philot,E.A., Scott,A.L., Carlan da Silva,M.C., Pantaleao,S.Q., Livia,B.C.M., Tainan,N.C., Lucas,S.M., Isabela,M.G., Helena,B.B.C.R., Emma,P., Michael,N., Eric,P.A., Ana Ligia,S., Maria Cristina,S.C.",2022-12-27,TB40 Lisa,A,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,531,GenBank,partial,,,1.0,Brazil,,Homo sapiens,,2022,,"Human betaherpesvirus 5 isolate A interleukin-10 gene, complete cds"
OP346858.1,,"Pantale,S.Q., Camillo,L.M.B., Neves,T.C., Menezes,I.G., Stangherlin,L.M., Batista,H.B.C.R., Poole,E., Nevels,M., Philot,E.A., Scott,A.L., Carlan da Silva,M.C., Pantaleao,S.Q., Livia,B.C.M., Tainan,N.C., Lucas,S.M., Isabela,M.G., Helena,B.B.C.R., Emma,P., Michael,N., Eric,P.A., Ana Ligia,S., Maria Cristina,S.C.",2022-12-27,TB40 Lisa,B,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,614,GenBank,partial,,,1.0,Brazil,,Homo sapiens,,2022,,"UNVERIFIED: Human betaherpesvirus 5 isolate B latency associated cmvIL-10-like gene, partial sequence"
OP346859.1,,"Pantale,S.Q., Camillo,L.M.B., Neves,T.C., Menezes,I.G., Stangherlin,L.M., Batista,H.B.C.R., Poole,E., Nevels,M., Philot,E.A., Scott,A.L., Carlan da Silva,M.C., Pantaleao,S.Q., Livia,B.C.M., Tainan,N.C., Lucas,S.M., Isabela,M.G., Helena,B.B.C.R., Emma,P., Michael,N., Eric,P.A., Ana Ligia,S., Maria Cristina,S.C.",2022-12-27,TB40 Lisa,E,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,450,GenBank,partial,,,1.0,Brazil,,Homo sapiens,,2022,,"Human betaherpesvirus 5 isolate E interleukin-10 (IL-10E) gene, complete cds"
OP346860.1,,"Pantale,S.Q., Camillo,L.M.B., Neves,T.C., Menezes,I.G., Stangherlin,L.M., Batista,H.B.C.R., Poole,E., Nevels,M., Philot,E.A., Scott,A.L., Carlan da Silva,M.C., Pantaleao,S.Q., Livia,B.C.M., Tainan,N.C., Lucas,S.M., Isabela,M.G., Helena,B.B.C.R., Emma,P., Michael,N., Eric,P.A., Ana Ligia,S., Maria Cristina,S.C.",2022-12-27,TB40 Lisa,F,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,483,GenBank,partial,,,1.0,Brazil,,Homo sapiens,,2022,,"Human betaherpesvirus 5 isolate F interleukin-10 (IL-10F) gene, complete cds"
OP346861.1,,"Pantale,S.Q., Camillo,L.M.B., Neves,T.C., Menezes,I.G., Stangherlin,L.M., Batista,H.B.C.R., Poole,E., Nevels,M., Philot,E.A., Scott,A.L., Carlan da Silva,M.C., Pantaleao,S.Q., Livia,B.C.M., Tainan,N.C., Lucas,S.M., Isabela,M.G., Helena,B.B.C.R., Emma,P., Michael,N., Eric,P.A., Ana Ligia,S., Maria Cristina,S.C.",2022-12-27,TB40 Lisa,H_ISA,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,533,GenBank,partial,,,1.0,Brazil,,Homo sapiens,,2022,,"UNVERIFIED: Human betaherpesvirus 5 isolate H_ISA interleukin-10-like gene, partial sequence"
OM863573.1,,"Hosseini Tabatabaie,F., Sarvari,J., Hoseini,S.Y., Safaie,A.",2022-12-20,,CC1,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,579,GenBank,partial,,,,Iran,,Homo sapiens,,2021-11-17,,"Human gammaherpesvirus 4 isolate CC1 EBNA-1 (EBNA-1) gene, partial cds"
OM305020.1,,"Rezaei,F., Ghasemi,S., Keshavarz,M., Mokhtari Azad,T.",2022-12-05,,IR14,Roseolovirus humanbeta7,Roseolovirus,Orthoherpesviridae,dsDNA,130,GenBank,partial,,,,Iran,,Homo sapiens,,2018-02-25,,"Human betaherpesvirus 7 isolate IR14 U10 (U10) gene, partial cds"
OM281830.1,,"Rezaei,F., Ghasemi,S., Keshavarz,M., Mokhtari azad,T.",2022-12-04,,IRN19F2,Human betaherpesvirus 6,Roseolovirus,Orthoherpesviridae,dsDNA,284,GenBank,partial,,,,Iran,,Homo sapiens,,2018-02-25,,"Human betaherpesvirus 6 isolate IRN19F2 U67 (U67) gene, partial cds"
OM281831.1,,"Rezaei,F., Ghasemi,S., Keshavarz,M., Mokhtari azad,T.",2022-12-04,,IRN24F2,Human betaherpesvirus 6,Roseolovirus,Orthoherpesviridae,dsDNA,284,GenBank,partial,,,,Iran,,Homo sapiens,,2018-02-25,,"Human betaherpesvirus 6 isolate IRN24F2 U67 (U67) gene, partial cds"
OM281833.1,,"Rezaei,F., Ghasemi,S., Keshavarz,M., Mokhtari azad,T.",2022-12-04,,IRN45F2,Human betaherpesvirus 6,Roseolovirus,Orthoherpesviridae,dsDNA,284,GenBank,partial,,,,Iran,,Homo sapiens,,2018-02-25,,"Human betaherpesvirus 6 isolate IRN45F2 U67 (U67) gene, partial cds"
OM281834.1,,"Rezaei,F., Ghasemi,S., Keshavarz,M., Mokhtari azad,T.",2022-12-04,,IRN22F2,Human betaherpesvirus 6,Roseolovirus,Orthoherpesviridae,dsDNA,284,GenBank,partial,,,,Iran,,Homo sapiens,,2018-02-25,,"Human betaherpesvirus 6 isolate IRN22F2 U67 (U67) gene, partial cds"
OP485563.1,,"Yaaghobi,R., Geramizade,B., Jalilsani,L., Karimi,M.H., Moghadam,M.",2022-11-21,,LJ-97-6,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,385,GenBank,partial,,,,Iran,,Homo sapiens,blood,2016-05-20,,UNVERIFIED: Human betaherpesvirus 5 clone 6b pr-97-6 sequence
MZ593729.1,,"Chauhan,V., Kanta,P., Goyal,K., Singh,M.P.",2022-10-16,PGIMER 2017_CMV_PDF_1,CMV_PDF_1,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,846,GenBank,partial,,,,India,,Homo sapiens,blood,2017,,"Human betaherpesvirus 5 strain PGIMER 2017_CMV_PDF_1 phosphotransferase (UL97) gene, partial cds"
